Account: NYC Alliance for Downtown New York
User: Sarah
Generated On: 03/29/2018
Filters: 
Streams: All
Groups: All
Components: All
Status: All


"Description","Serial","Streams","Model","Capacity","Status","Fullness Threshold","Age Threshold","Last Called","Lat","Lng"
"N/W/C Liberty St & Nassau St","2404020","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.70866918081977","-74.00940921534425"
"N/W/C Liberty St & Nassau St","2404020-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70866918081977","-74.00940921534425"
"N/W/C Maiden La & Nassau St","2404023","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.7090265742965","-74.0089140766865"
"N/W/C Maiden La & Nassau St","2404023-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.7090265742965","-74.0089140766865"
"N/W/C Maiden La & Pearl St","2404022","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.70674104932743","-74.00675342883608"
"N/W/C Maiden La & Pearl St","2404022-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70674104932743","-74.00675342883608"
"N/W/C Maiden La & William St","2404051","Trash","HC4","High","In Service","60%","Disabled","7 hours ago","40.70801743046388","-74.00801339999998"
"N/W/C Maiden La & William St","2404051-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70801743046388","-74.00801339999998"
"N/W/C Nassau & Cedar St","2404024","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.70822642963838","-74.00978967116396"
"N/W/C Nassau & Cedar St","2404024-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70822642963838","-74.00978967116396"
"N/W/C Park PL & Broadway","1401730","Trash","HC4","High","In Service","60%","Disabled","17 minutes ago","40.712643827966936","-74.00776688161471"
"N/W/C Park PL & Broadway","1401730-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.712643827966936","-74.00776688161471"
"N/W/C Pearl St & Whitehall","2403914","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70310033380413","-74.01307880798663"
"N/W/C Pearl St & Whitehall","2403914-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70310033380413","-74.01307880798663"
"N/W/C Pearl St Cedar St","2404025","Trash","HC4","High","In Service","60%","Disabled","5 hours ago","40.70644575377568","-74.00709535592802"
"N/W/C Pearl St Cedar St","2404025-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70644575377568","-74.00709535592802"
"N/W/C Pearl St. & Hanover St","2404186","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.70493299975258","-74.00887028282068"
"N/W/C Pearl St. & Hanover St","2404186-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70493299975258","-74.00887028282068"
"N/W/C South St & Old Slip","2404074","Trash","HC4","High","In Service","60%","Disabled","12 minutes ago","40.70335477932677","-74.00775199146267"
"N/W/C South St & Old Slip","2404074-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70335477932677","-74.00775199146267"
"N/W/C Trinity Pl & Rector St","2403962","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.707842523051","-74.01298341541366"
"N/W/C Trinity Pl & Rector St","2403962-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.707842523051","-74.01298341541366"
